Site,Content partner,Type,Country,City,URL,Description
DigitalNZ,"Christchurch Polytechnic Institute of Technology, Te Wānanga Ōtautahi",University,NZ,,,
DigitalNZ,Deutsche Digitale Bibliothek,Library,DE,,,
DigitalNZ,Waimakariri District Libraries,Library,NZ,,,
DigitalNZ,Kete Taupo,Community,NZ,,,
DigitalNZ,The Prow: ngā kōrero o te tau ihu,,NZ,,,
DigitalNZ,The Treasury,Government,NZ,,,
DigitalNZ,Department of Labour,Government,NZ,,,
DigitalNZ,New Zealand Book Council,,NZ,,,
DigitalNZ,Paul Spain,,NZ,,,
DigitalNZ,Toitū Otago Settlers Museum,Museum,NZ,,,
DigitalNZ,Kete Tararua,Community,NZ,,,
DigitalNZ,Kete Central Hawke's Bay,Community,NZ,,,
DigitalNZ,Tourism New Zealand,Government,NZ,,,
DigitalNZ,New Zealand Cricket Museum,Museum,NZ,,,
DigitalNZ,Kete Masterton,Community,NZ,,,
DigitalNZ,Department of Conservation Te Papa Atawhai,Government,NZ,,,
DigitalNZ,New Zealand Film Commission,Media,NZ,,,
DigitalNZ,Beacon Pathway Ltd,,NZ,,,
DigitalNZ,The New Zealand Nursing Education and Research Foundation,Non-profit,NZ,,,
DigitalNZ,Powerhouse Museum,Museum,AU,Sydney,,
DigitalNZ,Rotorua Museum of Art & History Te Whare Taonga o Te Arawa,Gallery,NZ,,,
DigitalNZ,Forest and Bird,,NZ,,,
DigitalNZ,Institute of Environmental Science and Research Ltd (ESR),,NZ,,,
DigitalNZ,Kete King Country,Community,NZ,,,
DigitalNZ,Tusk - Emergent Culture,Non-profit,NZ,,,
DigitalNZ,NIWA,Government,NZ,,,
DigitalNZ,Waimate Historical Museum and Archives,Museum,NZ,,,
DigitalNZ,Wellington City Libraries,Library,NZ,,,
DigitalNZ,Audio Foundation,,NZ,,,
DigitalNZ,Raglan and District Museum,,NZ,,,
DigitalNZ,Laurie Family,,NZ,,,
DigitalNZ,Te Awamutu Online,,NZ,,,
DigitalNZ,Christchurch uncovered,,NZ,,,
DigitalNZ,Waitangi Tribunal,,NZ,,,
DigitalNZ,What is that Christchurch,,NZ,,,
DigitalNZ,Lost Christchurch,,NZ,,,
DigitalNZ,Centre for Housing Research Aotearoa New Zealand,,NZ,,,
DigitalNZ,Canterbury 100,,NZ,,,
DigitalNZ,Plant & Food Research,,NZ,,,
DigitalNZ,Ministry of Tourism Te Manatū Tāpoi,,NZ,,,
DigitalNZ,Australian National Maritime Museum,,AU,,,
DigitalNZ,State Library of New South Wales,Library,AU,,,
DigitalNZ,The National Archives UK,Archives,UK,,,
DigitalNZ,Gus Fisher Gallery,,NZ,,,
DigitalNZ,New Zealand Journal of Forestry Science,,NZ,,,
DigitalNZ,Eastern Institute of Technology,,NZ,,,
DigitalNZ,Down to the Wire,,NZ,,,
DigitalNZ,Ministry of Education,,NZ,,,
DigitalNZ,Te Manawa,,NZ,,,
DigitalNZ,Energy Efficiency and Conservation Authority,,NZ,,,
DigitalNZ,Freesound,,NZ,,,
DigitalNZ,The Phoenix Project,,NZ,,,
DigitalNZ,Waitangi Tribunal Unit,,NZ,,,
DigitalNZ,Wanganui Collegiate School Museum,,NZ,,,
DigitalNZ,TBHP Collective Holiday Memories,,NZ,,,
