National Library of New Zealand+    Library    NZ    26586200    1839    2018
National Library of New Zealand    Library    NZ    7070    1839    2018
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa	Government	NZ	652		
British Pathé	Media	UK	604	1900	2011
AgEcon Search		NZ	599	1929	2017
Kawerau District Library	Library	NZ	584	1987	1987
Christchurch Polytechnic Institute of Technology, Te Wānanga Ōtautahi	University	NZ	579	2000	2015
Deutsche Digitale Bibliothek	Library	DE	564	1839	2018
Waimakariri District Libraries	Library	NZ	560		
Kete Taupo	Community	NZ	551	1977	1977
The Prow: ngā kōrero o te tau ihu		NZ	565		
The Treasury	Government	NZ	536	1905	2010
Department of Labour	Government	NZ	520	1989	2009
New Zealand Book Council		NZ	505		
Paul Spain		NZ	449	-1	2018
Toitū Otago Settlers Museum	Museum	NZ	425	1770	2018
Kete Tararua	Community	NZ	405	1582	1981
Kete Central Hawke's Bay	Community	NZ	403	1895	1922
Tourism New Zealand	Government	NZ	378	2010	2010
New Zealand Cricket Museum	Museum	NZ	372	1860	2016
Kete Masterton	Community	NZ	366		
Department of Conservation Te Papa Atawhai	Government	NZ	366		
New Zealand Film Commission	Media	NZ	331	1977	2017
Beacon Pathway Ltd		NZ	308	2004	2014
The New Zealand Nursing Education and Research Foundation	Non-profit	NZ	308	1940	928
Powerhouse Museum	Museum	AU	300	1706	2009
Rotorua Museum of Art & History Te Whare Taonga o Te Arawa	Gallery	NZ	0		
Forest and Bird		NZ	114	2012	2014
Institute of Environmental Science and Research Ltd (ESR)		NZ	262	2000	2009
Kete King Country	Community	NZ	261		
Tusk - Emergent Culture	Non-profit	NZ	255	2015	2017
NIWA	Government	NZ	257		
Waimate Historical Museum and Archives	Museum	NZ	252	1878	2018
Wellington City Libraries	Library	NZ	250	1967	2011
Audio Foundation		NZ	129		
Raglan and District Museum		NZ	210	1842	2018
Laurie Family		NZ	163	1915	1924
Te Awamutu Online		NZ	5		
Christchurch uncovered		NZ	155	2013	2018
Waitangi Tribunal		NZ	152	1978	2018
What is that Christchurch		NZ	138		
Lost Christchurch		NZ	129	2011	2017
Centre for Housing Research Aotearoa New Zealand		NZ	123	2003	2010
Canterbury 100		NZ	119	1913	2014
Plant & Food Research		NZ	0		
Ministry of Tourism Te Manatū Tāpoi		NZ	105	2008	2010
Australian National Maritime Museum		AU	100	1870	2012
State Library of New South Wales	Library	AU	100		
The National Archives UK	Archives	UK	118		
Gus Fisher Gallery		NZ	96	1921	2008
New Zealand Journal of Forestry Science		NZ	94	2013	2016
Eastern Institute of Technology		NZ	89	2004	2017
Down to the Wire		NZ	85	1989	2010
Ministry of Education		NZ	82	2009	2011
Te Manawa		NZ	76	1841	2018
Energy Efficiency and Conservation Authority		NZ	68	2008	2009
Freesound		NZ	65	2006	2014
The Phoenix Project		NZ	62	1957	1993
Waitangi Tribunal Unit		NZ	58	1988	2001
