Alexander Turnbull Library	1960	5498
Alexander Turnbull Library	1949	5067
Alexander Turnbull Library	1880	4970
Alexander Turnbull Library	1870	4828
Alexander Turnbull Library	1954	4613
Alexander Turnbull Library	1970	4612
Alexander Turnbull Library	1963	4398
Alexander Turnbull Library	1953	4261
Alexander Turnbull Library	1900	4243
Alexander Turnbull Library	1968	4127
Alexander Turnbull Library	2005	4087
Alexander Turnbull Library	1964	4073
Alexander Turnbull Library	1969	3937
Alexander Turnbull Library	2011	3908
Alexander Turnbull Library	2012	3796
Alexander Turnbull Library	2009	3716
Alexander Turnbull Library	1967	3704
Alexander Turnbull Library	1946	3577
Alexander Turnbull Library	2008	3566
Alexander Turnbull Library	2010	3558
Alexander Turnbull Library	2013	3505
Alexander Turnbull Library	1890	3504
Alexander Turnbull Library	1929	3483
Alexander Turnbull Library	2007	3379
Alexander Turnbull Library	1940	3353
Alexander Turnbull Library	1966	3337
Alexander Turnbull Library	2015	3292
Alexander Turnbull Library	2014	3264
Alexander Turnbull Library	1945	3241
Alexander Turnbull Library	1915	3167
Alexander Turnbull Library	1918	3146
Alexander Turnbull Library	1944	2999
Alexander Turnbull Library	1972	2961
Alexander Turnbull Library	1952	2912
Alexander Turnbull Library	1971	2901
Alexander Turnbull Library	1925	2829
Alexander Turnbull Library	1961	2827
Alexander Turnbull Library	1973	2816
Alexander Turnbull Library	1927	2808
Alexander Turnbull Library	2006	2675
Alexander Turnbull Library	2016	2538
Alexander Turnbull Library	2004	2504
Alexander Turnbull Library	1919	2481
Alexander Turnbull Library	1943	2465
Alexander Turnbull Library	1914	2334
Alexander Turnbull Library	1928	2321
Alexander Turnbull Library	2017	2246
Alexander Turnbull Library	1860	2232
Alexander Turnbull Library	1856	2118
Alexander Turnbull Library	1974	2102
Alexander Turnbull Library	1899	2044
Alexander Turnbull Library	1975	2026
Alexander Turnbull Library	1917	1881
Alexander Turnbull Library	1977	1847
Alexander Turnbull Library	1938	1835
Alexander Turnbull Library	1988	1726
Alexander Turnbull Library	1942	1691
Alexander Turnbull Library	2002	1660
Alexander Turnbull Library	1976	1657
Alexander Turnbull Library	1916	1639
Alexander Turnbull Library	1935	1584
Alexander Turnbull Library	1895	1542
Alexander Turnbull Library	1909	1540
Alexander Turnbull Library	1941	1525
Alexander Turnbull Library	2003	1512
Alexander Turnbull Library	1923	1509
Alexander Turnbull Library	1908	1500
Alexander Turnbull Library	1987	1386
Alexander Turnbull Library	1924	1380
Alexander Turnbull Library	1986	1355
Alexander Turnbull Library	1936	1351
Alexander Turnbull Library	1985	1351
Alexander Turnbull Library	1983	1349
Alexander Turnbull Library	1984	1271
Alexander Turnbull Library	1869	1268
Alexander Turnbull Library	1931	1204
Alexander Turnbull Library	1906	1195
Alexander Turnbull Library	1989	1181
Alexander Turnbull Library	1912	1173
Alexander Turnbull Library	1875	1172
Alexander Turnbull Library	1913	1168
Alexander Turnbull Library	1907	1166
Alexander Turnbull Library	1982	1165
Alexander Turnbull Library	1978	1149
Alexander Turnbull Library	1879	1140
Alexander Turnbull Library	1885	1139
Alexander Turnbull Library	1911	1139
Alexander Turnbull Library	2001	1044
Alexander Turnbull Library	1980	1011
Alexander Turnbull Library	1921	992
Alexander Turnbull Library	1887	988
Alexander Turnbull Library	1898	965
Alexander Turnbull Library	1937	951
Alexander Turnbull Library	1876	946
Alexander Turnbull Library	1865	936
Alexander Turnbull Library	1904	936
Alexander Turnbull Library	1981	933
Alexander Turnbull Library	1886	913
Alexander Turnbull Library	1934	893
Alexander Turnbull Library	1902	883
Alexander Turnbull Library	1897	869
Alexander Turnbull Library	1874	866
Alexander Turnbull Library	1888	854
Alexander Turnbull Library	1882	848
Alexander Turnbull Library	1901	847
Alexander Turnbull Library	1881	841
Alexander Turnbull Library	1883	834
Alexander Turnbull Library	1993	832
Alexander Turnbull Library	1894	823
Alexander Turnbull Library	1884	816
Alexander Turnbull Library	1990	814
Alexander Turnbull Library	1896	810
Alexander Turnbull Library	1903	810
Alexander Turnbull Library	1873	806
Alexander Turnbull Library	1850	804
Alexander Turnbull Library	1891	798
Alexander Turnbull Library	1878	763
Alexander Turnbull Library	1868	762
Alexander Turnbull Library	1872	755
Alexander Turnbull Library	1863	751
Alexander Turnbull Library	1932	750
Alexander Turnbull Library	1979	746
Alexander Turnbull Library	1992	741
Alexander Turnbull Library	1997	734
Alexander Turnbull Library	1871	700
Alexander Turnbull Library	1892	698
Alexander Turnbull Library	1893	695
Alexander Turnbull Library	1877	664
Alexander Turnbull Library	1864	655
Alexander Turnbull Library	1999	647
Alexander Turnbull Library	1991	612
Alexander Turnbull Library	1866	601
Alexander Turnbull Library	2000	590
Alexander Turnbull Library	1994	568
Alexander Turnbull Library	1995	516
Alexander Turnbull Library	1862	493
Alexander Turnbull Library	1922	483
Alexander Turnbull Library	1848	459
Alexander Turnbull Library	1933	455
Alexander Turnbull Library	1852	421
Alexander Turnbull Library	1998	394
Alexander Turnbull Library	1996	382
Alexander Turnbull Library	1867	364
Alexander Turnbull Library	1861	356
Alexander Turnbull Library	1847	353
Alexander Turnbull Library	1845	346
Alexander Turnbull Library	1840	331
Alexander Turnbull Library	1851	302
Alexander Turnbull Library	1849	301
Alexander Turnbull Library	1844	279
Alexander Turnbull Library	1859	278
Alexander Turnbull Library	1858	264
Alexander Turnbull Library	1842	238
Alexander Turnbull Library	1846	226
Alexander Turnbull Library	1857	224
Alexander Turnbull Library	1855	216
Alexander Turnbull Library	1853	212
Alexander Turnbull Library	1843	206
Alexander Turnbull Library	1854	156
Alexander Turnbull Library	1841	150
Alexander Turnbull Library	1800	135
Alexander Turnbull Library	1830	124
Alexander Turnbull Library	1839	106
Alexander Turnbull Library	1820	103
Alexander Turnbull Library	1826	84
Alexander Turnbull Library	1827	84
Alexander Turnbull Library	1833	83
Alexander Turnbull Library	1777	70
Alexander Turnbull Library	1835	68
Alexander Turnbull Library	1816	66
Alexander Turnbull Library	1818	60
Alexander Turnbull Library	1838	54
Alexander Turnbull Library	1837	52
Alexander Turnbull Library	1769	50
Alexander Turnbull Library	1779	48
Alexander Turnbull Library	1836	47
Alexander Turnbull Library	1772	46
Alexander Turnbull Library	1829	41
Alexander Turnbull Library	1778	39
Alexander Turnbull Library	1834	37
Alexander Turnbull Library	1825	35
Alexander Turnbull Library	1775	31
Alexander Turnbull Library	1810	31
Alexander Turnbull Library	1784	30
Alexander Turnbull Library	1823	30
Alexander Turnbull Library	1790	29
Alexander Turnbull Library	1824	29
Alexander Turnbull Library	1828	29
Alexander Turnbull Library	1822	25
Alexander Turnbull Library	1773	24
Alexander Turnbull Library	1832	23
Alexander Turnbull Library	1819	22
Alexander Turnbull Library	1600	20
Alexander Turnbull Library	1774	18
Alexander Turnbull Library	1831	18
Alexander Turnbull Library	1788	17
Alexander Turnbull Library	1792	17
Alexander Turnbull Library	1555	16
Alexander Turnbull Library	1767	16
