Christchurch Art Gallery Te Puna o Waiwhetu	Images	5815
Christchurch Art Gallery Te Puna o Waiwhetu	Videos	35
Auckland University of Technology	Research papers	6063
Auckland University of Technology	Books	1
Public Address	Articles	4950
Public Address	Audio	620
data.govt.nz	Data	5438
Dunedin Public Art Gallery	Images	5231
NZEI Te Riu Roa (New Zealand Educational Institute)	Images	2638
NZEI Te Riu Roa (New Zealand Educational Institute)	Articles	2416
NZEI Te Riu Roa (New Zealand Educational Institute)	Videos	65
NZ On Screen	Videos	4576
DigitalNZ	Sets	4321
DigitalNZ	Articles	268
Kete Rotorua	Images	2912
Kete Rotorua	Articles	677
Kete Rotorua	Other	427
Kete Rotorua	Videos	4
Kete Rotorua	Audio	1
Directory of Open Access Journals	Research papers	3808
Science Learning Hub	Articles	1643
Science Learning Hub	Videos	1574
Science Learning Hub	Other	483
Europeana	Images	2031
Europeana	Research papers	915
Europeana	Other	652
Europeana	Videos	65
Buller, Grey and Westland District Libraries	Images	2559
Buller, Grey and Westland District Libraries	Other	653
Buller, Grey and Westland District Libraries	Articles	256
Buller, Grey and Westland District Libraries	Videos	39
Buller, Grey and Westland District Libraries	Audio	25
SUPERU	Research papers	3411
Mataura Museum	Images	3091
Feilding Library	Images	2999
FigShare	Data	877
FigShare	Research papers	828
FigShare	Other	686
FigShare	Images	580
FigShare	Videos	22
Kete Selwyn	Images	2115
Kete Selwyn	Articles	602
Kete Selwyn	Other	51
Kete Selwyn	Audio	27
Kete Selwyn	Videos	1
Unitec	Research papers	2753
Aotearoa People's Network Kaharoa	Images	2552
Aotearoa People's Network Kaharoa	Videos	1
Museum Victoria	Images	2197
Museum Victoria	Articles	193
New Zealand Medical Association	Articles	2292
Whangarei Libraries	Images	2057
The British Library	Images	2000
HathiTrust	Books	1827
National Library of Australia	Images	1762
Picture Australia	Images	1762
New Zealand Fashion Museum	Images	1732
Ministry of Health	Articles	1449
Ministry of Health	Research papers	262
Kete Tasman	Images	1029
Kete Tasman	Other	579
Kete Tasman	Articles	72
Reserve Bank of New Zealand	Research papers	697
Reserve Bank of New Zealand	Newspapers	536
Reserve Bank of New Zealand	Images	289
Hurunui District Libraries	Images	1387
Hurunui District Libraries	Articles	61
Hurunui District Libraries	Audio	29
Hurunui District Libraries	Other	1
Waikato Museum Te Whare Taonga o Waikato	Images	1354
Dunedin City Council Archives	Images	1300
AttitudeLive	Videos	1297
Open Polytechnic	Research papers	1279
State Library of Victoria	Images	822
State Library of Victoria	Other	407
LERNZdb	Data	1193
Ministry for the Environment	Research papers	1159
Central Otago Memory Bank	Images	1046
Central Otago Memory Bank	Other	32
Central Otago Memory Bank	Articles	30
Central Otago Memory Bank	Videos	4
Central Otago Memory Bank	Audio	3
PSA Journal	Articles	1038
AudioCulture	Articles	1042
Howick Historical Village	Images	1038
BRANZ	Research papers	943
Kete Hauraki Coromandel	Images	773
Kete Hauraki Coromandel	Articles	98
Kete Hauraki Coromandel	Other	51
Kete Hauraki Coromandel	Videos	3
95bFM	Audio	227
95bFM	Images	118
95bFM	Videos	5
Nga Manu Nature Reserve	Images	800
Hutt City Libraries	Articles	391
Hutt City Libraries	Images	260
Hutt City Libraries	Books	143
Play It Strange	Audio	754
CORE Education	Videos	753
Carterton District Library	Images	326
Carterton District Library	Other	248
